spiderg	paintingawai,0.805700421333	itsclair,0.793143868446	jaxonthepc,0.79126739502	chonnn,0.785060167313	iamernst,0.784685194492	mpaynor,0.784635305405	majordodson,0.781233429909	paulwilk,0.780350625515	jenwong,0.780012667179	mitz,0.778363704681	
mustachmad	vnit,0.735421299934	stephanebiz,0.725668847561	mermus,0.724267721176	jonasquinn,0.72048419714	djchickri,0.717603325844	tutuomglovetheenergyher,0.712964773178	miniscoop,0.709852933884	leahkat,0.708265244961	stacienagi,0.70626282692	domsoprettyy,0.703907430172	
nontriumph	hannahstwit,0.650203883648	citrusberri,0.640685558319	lyndylov,0.636138916016	heatherbreen,0.627723038197	terabithia,0.625592827797	peachyyyi,0.620750546455	cyanideend,0.61826390028	mumdanc,0.616462230682	jenlynnbarn,0.615342378616	dashift,0.613084375858	
theredheadedon	kingl,0.684484362602	conniepow,0.683730900288	meganlm,0.646928548813	roombleh,0.642233550549	thedjsg,0.640964388847	babyal,0.633582472801	sxygirl,0.62914276123	quotmarleyampmequot,0.627321243286	skautzmann,0.625264644623	makaylai,0.623572766781	
homeangeliqu	jamescum,0.745241761208	fdf,0.734006881714	annaragen,0.730764687061	decoratingit,0.719493687153	gregkanimian,0.715466618538	thelastplaceyoulook,0.714461684227	kathrynelliott,0.71366250515	cakedai,0.712799787521	pinkcakebox,0.709609389305	holidayworld,0.707926928997	
quotdesper	quottlc,0.891635239124	maek,0.891078174114	asilfhlasihflkasdhglksd,0.887468338013	quotston,0.88567841053	hospohyp,0.883252978325	coachdanni,0.880684256554	biskitt,0.87931907177	happiesss,0.877856194973	hassin,0.876884818077	sugarcheryl,0.876250982285	
shimmynshak	heatherhopkinz,0.85523045063	wireman,0.817982256413	ltxxx,0.813497066498	beingthechurch,0.812159895897	harveygrl,0.803211092949	jensess,0.802464604378	hourfollowshour,0.800403356552	christianlaland,0.797740221024	chelsluvsy,0.797075033188	unhub,0.796887636185	
wooffi	ilfracomb,0.891062736511	infiniteau,0.731442809105	moiyahatak,0.712924778461	fastiv,0.694123625755	derickganesh,0.683825314045	foreverbossin,0.683170378208	pseudoadult,0.681904792786	leahkat,0.676542520523	darrennoonan,0.676371157169	shelberri,0.674973726273	
marisianempir	retweethop,0.89771437645	samanthakirt,0.896560549736	medtourismrsrch,0.892443418503	veganscor,0.890596091747	stevewilliam,0.889475703239	oilcan,0.888650596142	smhtime,0.887609302998	repliedlov,0.884083986282	saralisa,0.883036494255	publicgulp,0.882331073284	
tvredhead	brittneybrandt,0.740896821022	khorr,0.727531790733	cherylc,0.726860642433	shortstackco,0.72335100174	caldog,0.723105072975	lbsweet,0.721302390099	sarawr,0.719583153725	homesurviv,0.718869566917	quebecblog,0.717001795769	ladycuppycak,0.712962865829	
maryssfrompari	headhoot,0.923495531082	mkegui,0.920704603195	happiesss,0.911177754402	rosemariedr,0.910279750824	arjunananda,0.909624993801	ltcauiogt,0.908591926098	bookoftea,0.907373428345	caros,0.906166553497	debbiedu,0.905995309353	maek,0.905846476555	
spreadshirtcom	expatcatalyst,0.89696842432	techbird,0.727410674095	htmlrlz,0.725897192955	canni,0.72347509861	alleykat,0.719747185707	confussedd,0.719425737858	atvin,0.718842506409	kabati,0.718705236912	pinkteacozi,0.709303855896	upunfortun,0.708954334259	
colleengleason	msscloudi,0.770057976246	lbmegan,0.748085260391	phylli,0.744748711586	sylentsyd,0.741745948792	cheno,0.739981472492	esoterismo,0.737304210663	firebuild,0.734626889229	prevert,0.733305096626	wowcongrat,0.732004106045	sadtimesy,0.731726706028	
mysticalros	sexywel,0.82629352808	modelmiszkendra,0.667138695717	tuckerhott,0.620397925377	calebkimbrough,0.618618488312	quotalphaedquot,0.615893423557	artwhirl,0.608280301094	cyberknet,0.607649147511	pjlinzyit,0.600842893124	mzkellybabi,0.594907522202	patricknoack,0.592200398445	
elementalist	shinuichi,0.542437255383	justcallmarian,0.530596137047	indeedwish,0.526897788048	starvemepretti,0.524630665779	joshbigg,0.520674943924	tandcmitchel,0.516151368618	twittzlez,0.512123584747	jesusismyfriend,0.503673434258	missxisxher,0.502781033516	downbodom,0.498268723488	
ladyhenrietta	alisonrothwel,0.695079922676	caseycochran,0.637717843056	cvh,0.631323516369	samanthaa,0.626834273338	jlichtenberg,0.617041826248	broadcastretweet,0.615674674511	outexpect,0.605800151825	aleesah,0.603108644485	aranorimasarteyahoocom,0.596064865589	pinstupid,0.594919681549	
antihit	therozz,0.943309307098	balsa,0.922324240208	dzenlemesind,0.90244448185	parann,0.898529052734	pinkyou,0.898035407066	chefjohnni,0.896223187447	kardam,0.895952880383	doggz,0.895479679108	piedzvoji,0.895324289799	mollyjamesoncom,0.89414703846	
surprisinli	mandach,0.778778910637	iohhh,0.772720694542	smileycara,0.765877008438	bestfoodbabi,0.756970882416	thatyoulovem,0.753222942352	dolcevita,0.752467513084	imatal,0.749942421913	prettyindafac,0.749117672443	jarti,0.746932029724	youngcardi,0.746034502983	
terrifyingli	kcc,0.633961319923	buildperfvmlinux,0.633054375648	djkaston,0.631176412106	friskyradio,0.626429080963	mashikov,0.621475696564	mrsbate,0.621287345886	offspr,0.618552863598	stinkytpinki,0.615697562695	sloozi,0.615144968033	youstai,0.612309217453	
meikio	mariellemai,0.730617046356	catdown,0.726284980774	hiltonpari,0.720988571644	anissapramudita,0.719757974148	statementtri,0.717172026634	casttro,0.715649902821	greographi,0.709719002247	layorquot,0.709220767021	ruthward,0.708466887474	omgshmelodi,0.708342313766	
grrrrrrrrrrrrrtoo	bayhow,0.626257121563	tkort,0.605493307114	justrockout,0.597178518772	cbowi,0.596692800522	tpzlunat,0.594138979912	paigenoelani,0.593659877777	queenjanni,0.589015960693	smokinggosh,0.587204515934	familyeveryon,0.583501458168	mercymi,0.578347206116	
nashaloveex	nutritionnist,0.812396585941	beckylaugh,0.811655580997	cleobabyra,0.800771951675	cathtaylor,0.785277605057	ginnyharri,0.78076839447	dearlennon,0.776183485985	azurepass,0.775729179382	inktangel,0.77479404211	brendie,0.77266305685	aknow,0.769616246223	
totaltimeout	rellaxxx,0.788338422775	mrstephenbeck,0.772058904171	forknowledg,0.766461253166	monikahosiana,0.762805223465	jaima,0.76191174984	differentbut,0.759212970734	quotmequot,0.759169340134	prilnext,0.756462335587	tweetsorri,0.755814194679	flagz,0.754323601723	
dmichol	samcharitar,0.636721730232	imeowza,0.579449594021	shahirahlov,0.576555371284	dynamitechar,0.517129361629	mellykin,0.507769882679	adamhick,0.507370591164	theejphresh,0.505229175091	mauipartymama,0.500042319298	nickjsalt,0.499635696411	hellsquooki,0.497362792492	
incognegro	mrznikki,0.94320499897	mainestand,0.876862406731	aliciaw,0.874561548233	hollyhatesy,0.872565507889	fgmzkx,0.872149586678	nicolegiglia,0.869772970676	vinceandrew,0.868347048759	izzatiarchuleta,0.866968810558	kimawesom,0.865742385387	amiediva,0.86541056633	
addictedi	emberiryss,0.8307030797	wetseal,0.811182618141	eachi,0.785993158817	confusedkhmai,0.768284082413	updatesquit,0.761022746563	freakboykel,0.754072010517	attentionelli,0.74918627739	darrenport,0.744343698025	sjaduram,0.743436098099	megawhal,0.743092417717	
jjpny	starttttt,0.844502449036	coldampfeel,0.837323188782	mbetti,0.830252826214	rjheywood,0.825111031532	katiecola,0.818053305149	poorman,0.817215561867	wwwyoutubecombringleethehorizon,0.81521999836	takingcontrol,0.812772035599	caducasp,0.809717476368	trencher,0.808982074261	
fckedi	buffybarakat,0.904846251011	chavezja,0.746101498604	domzz,0.731003522873	melincali,0.724076271057	sandalflipflop,0.722066879272	cjnorri,0.709634542465	westernheritag,0.707847177982	dgkanatsio,0.707115113735	kookookangaroo,0.705955564976	timedecai,0.704327106476	
dasasuk	whiteampnerdyi,0.856462001801	thankkkkkk,0.836720347404	phyllig,0.832530021667	joanvaughan,0.831762731075	mfashionista,0.829168200493	ariessss,0.829109668732	sjafana,0.828597545624	kila,0.826313316822	extraelleen,0.825486600399	cleverrtia,0.824857115746	
weekscanot	wrapit,0.644753992558	nahbut,0.636931657791	redswalkon,0.620965540409	pantyhous,0.61122071743	megoo,0.597169160843	everydaygrrwher,0.594100654125	sebastyn,0.593647420406	jeansbut,0.59294128418	kphomma,0.590991616249	jjless,0.585827350616	
pointsani	whinycuntsvil,0.760684490204	kimbot,0.753450274467	fabutitti,0.751134932041	ratio,0.75103354454	pokerman,0.750539422035	joannemoretti,0.74938762188	jmbuckingham,0.748774051666	quotgii,0.7481752038	gethow,0.744990050793	parkourfre,0.744940340519	
swipe	pci,0.814102768898	refurbish,0.810053288937	thecarol,0.809962272644	psthank,0.804288029671	tattl,0.79809987545	redhat,0.797405838966	embroideri,0.795161783695	quartz,0.794267594814	rustybucket,0.792774200439	apih,0.791674494743	
wodcomplet	beatne,0.911433041096	lasagna,0.704274535179	pasta,0.698609471321	leftov,0.695299506187	lasagn,0.694684386253	boycotdelifr,0.684630632401	saugajust,0.684592306614	bolognes,0.682534337044	peoplealhamdulilah,0.679396629333	poisonedsick,0.678809046745	
leighton	meester,0.937243103981	starship,0.807136297226	neyo,0.806474685669	quotstanki,0.794681608677	itsmeleighton,0.793065905571	quotturn,0.785629332066	rihanna,0.784374713898	quotso,0.784162521362	duet,0.783675312996	goodbyequot,0.78130620718	
cinderakasih	blahgirl,0.657447457314	xoxoxo,0.642825782299	muralasa,0.626510858536	prettyfac,0.624770224094	villagebut,0.619872093201	carolzara,0.618759989738	tracei,0.615961372852	paupaula,0.610327720642	darlin,0.609019398689	heybeyi,0.604932188988	
wulf	wingedpig,0.513387441635	doughtygubai,0.487195104361	iscreamfashion,0.46953868866	dinamc,0.459623783827	basssssssss,0.438121914864	justinsatorr,0.433806538582	lamebrain,0.428755760193	tasma,0.428071469069	ingag,0.427463114262	okine,0.423284947872	
ljenna	mrbigg,0.805729746819	bethisrad,0.706506490707	loverock,0.704557776451	herrpeischl,0.70132368803	dueprofit,0.669979393482	iheartdegrassi,0.668504357338	wwwlivelyricismblogspotcom,0.665366649628	scantabil,0.665085911751	rmless,0.656499266624	wilsonbear,0.656419038773	
bumperbownass	afterbefor,0.74149787426	scon,0.639663875103	chamomil,0.637040674686	bravoranwel,0.636678874493	karendelosrey,0.629797577858	farmingdal,0.628729343414	peyti,0.626874744892	ohhitsleta,0.623943328857	exhaustedstil,0.623159706593	mammaltheband,0.621263504028	
simplysinist	calelikepal,0.733560800552	abberss,0.718779742718	nantena,0.712611198425	lukeodom,0.701486229897	clareohh,0.698754429817	inadequateineedhelp,0.697949826717	deriqu,0.697387337685	ouchthi,0.689624667168	dannybyrd,0.688900589943	jilluh,0.68545794487	
andrewwarn	brdi,0.840732395649	valeriefel,0.830529272556	shopanni,0.830087065697	reneejx,0.829659700394	claudiobeti,0.829472601414	mindpir,0.824869215488	kymdawkin,0.82470703125	alucardvh,0.822973608971	wowforex,0.822625279427	ishu,0.821729063988	
cakesteal	pcstackummm,0.712994515896	airportt,0.706774771214	bedtimmm,0.684466600418	htei,0.672353208065	alexprinz,0.669343292713	demxx,0.66564655304	flowerkil,0.665211975574	awpoor,0.663327038288	eejhei,0.661819219589	goinmal,0.660948038101	
jasgonzal	holikinss,0.402558654547	greenw,0.390731275082	trashmen,0.387332558632	biggulpliv,0.377585411072	godesss,0.377408206463	jasonxcor,0.367216408253	kgrei,0.365395009518	wwwultrafivecom,0.362204313278	itspacimback,0.360877454281	ltpost,0.359919160604	
bryngreenwood	moniquemostli,0.876608133316	verltodd,0.872897148132	sicklittlefox,0.868508934975	zarvo,0.865099549294	learnwhatev,0.864640295506	tweas,0.861217796803	dataslay,0.859178423882	updatesinclud,0.858711779118	carolegordon,0.857601106167	jumpw,0.856923997402	
stevejaviel	awhilemi,0.760943830013	christiancad,0.734412848949	emslondon,0.728409469128	morriganchild,0.721633672714	cbernardi,0.711770474911	goodnessfin,0.709024786949	kitosoma,0.704344034195	annonshai,0.702881455421	ppst,0.702795863152	revisionopp,0.702060043812	
sbby	rrrrobbbb,0.875375747681	rhanvi,0.856515288353	missbruis,0.846114516258	gfifti,0.844700217247	thewomaninblack,0.843537867069	superfrantast,0.835132956505	callwait,0.834964692593	tuhmdeedhumi,0.834845542908	lollbirdsei,0.833727359772	screamingcolor,0.832756400108	
commonplac	bandyroo,0.707224726677	leonessa,0.684046149254	thestudiotim,0.670856714249	fotolex,0.663642346859	amrah,0.663626074791	ntemena,0.650612711906	arrjai,0.649748802185	heatx,0.647983431816	tidertechi,0.647411584854	waynebeaton,0.647381067276	
wrongbt	vampireprncess,0.679067969322	hile,0.671128630638	elboghdadli,0.652027606964	pastemagazin,0.649330973625	fattybacon,0.644484639168	luvjanelli,0.641178488731	shantanoo,0.626915574074	flipinggfantast,0.624765455723	mortenrovik,0.607296466827	sweetromanc,0.607234120369	
meabi	vowelmov,0.743831276894	kimlovescooki,0.740525305271	mirrow,0.698385894299	marisabumblebe,0.67729562521	quotjacksoul,0.673108100891	cortana,0.666042506695	sorryyyyyyi,0.664014160633	lengad,0.662694752216	beerup,0.655495524406	stayceesea,0.651234149933	
quotsociablequot	statisit,0.664708971977	addygryff,0.658706665039	spingattack,0.656172811985	queenofcapric,0.651213169098	rutiso,0.644546151161	firewoman,0.637026309967	choplet,0.629224419594	infolol,0.62483215332	worldofgoo,0.623120069504	studyudi,0.619217991829	
simcitymus	channeldepress,0.859533309937	abhierovero,0.733572304249	gtgtgttgifridayshv,0.692103743553	tazelp,0.683844208717	luckiestarz,0.678229987621	odddesignsatx,0.672740399837	jaznicol,0.671029806137	cadeskywalk,0.667191624641	sleepworri,0.665651738644	uggggggggggggggghhhhhhhhhhh,0.662766575813	
samishamieh	meifrotald,0.746784210205	patchjacaranda,0.743531405926	seanzi,0.726206541061	huahahhahaha,0.725110530853	wellb,0.724740028381	newsdrug,0.719960033894	mstecklei,0.719945311546	dollycharlinc,0.719153285027	joehjolteon,0.7179915905	maybebab,0.717598795891	
bitescan	familydin,0.664999067783	amorphia,0.654515028	vegitarianh,0.634448826313	buffet,0.631348669529	burrito,0.628886580467	salmon,0.627644479275	bumkittykat,0.627320826054	neani,0.626925170422	beanhelp,0.622470617294	pluckypea,0.620294511318	
wwwstandupmileypiczocomsponsoru	standupmilei,0.939771056175	didcan,0.807220697403	lacno,0.788770079613	allani,0.783573150635	nativiri,0.781006097794	followuj,0.778372704983	kuliah,0.778356671333	alugh,0.777990102768	matheusnun,0.777500271797	angelalima,0.777176737785	
thisiswar	jessethat,0.795993924141	pinggangach,0.791445851326	christophgold,0.787249624729	oyfreakinvei,0.785073757172	jvdmeulen,0.784987151623	ariankhneferet,0.784534752369	maskerad,0.783231139183	lovecraftian,0.782564997673	simonleung,0.781685829163	fernanda,0.780690789223	
weekpromis	quotiwanttheworldquot,0.718035459518	crossbreez,0.667855620384	bunjavacoffe,0.658729016781	coommmeonnn,0.636097252369	karensummerton,0.635573387146	canarvin,0.634336352348	venturadidnot,0.630848884583	isleeptillnoon,0.628453493118	woohoouh,0.626291930676	listeninggggg,0.622225522995	
meganedward	gymnerina,0.691315352917	ravo,0.671965122223	paulafan,0.664851129055	chantellexxxx,0.660671114922	lilmissemojesss,0.655279457569	yestel,0.650152206421	losernot,0.648356556892	circlen,0.646596670151	aimmm,0.645529806614	mctwittermummi,0.645151078701	
alwaysfreaki	lifeatthecircu,0.648178637028	ehx,0.647524893284	djsupacak,0.638846158981	shannonamour,0.6307284832	imkooth,0.626807510853	divaeliteinc,0.624704957008	omgpopim,0.623023509979	marksednei,0.622996926308	paterick,0.622449994087	annaobrien,0.622371792793	
richtaur	unrecogn,0.81088745594	hauneb,0.740397453308	wwwblogtvcompeopleangel,0.733493924141	suphafangirl,0.728022575378	mikerosado,0.726330637932	shitika,0.718759357929	youngprada,0.716710984707	jfive,0.714539945126	tamera,0.714492082596	themonei,0.710877418518	
sadwhi	ddlovatomi,0.869348943233	dunnonobodi,0.859394073486	nowm,0.857882261276	southmicro,0.852181255817	eshaplei,0.851576805115	denedim,0.850428104401	kingcash,0.849960327148	miekei,0.84899699688	holidayheaven,0.848945617676	dizzzi,0.847747147083	
hardparad	florspac,0.772815406322	blessedsist,0.768608570099	blindbylaught,0.752599835396	mexijen,0.751195669174	quotdreamin,0.750792264938	armoractivist,0.746433973312	trailerjacob,0.743344068527	adjectiveless,0.740357995033	hhoagi,0.740163445473	cping,0.739716291428	
cartwheelhol	nwhav,0.744899749756	flyestt,0.733916044235	ginamstudio,0.724523901939	machinawher,0.720358967781	jladag,0.719418883324	mssimonamihiela,0.716208577156	sjgame,0.716061115265	quotvirtuallyquot,0.715803742409	hulamom,0.713961720467	fashionanna,0.71279168129	
newgroundschalleng	niagra,0.671308577061	asleept,0.665713787079	laureneubank,0.663441121578	troosevelt,0.65380179882	himahhhhh,0.643710315228	boyblinketc,0.632912874222	asleepppp,0.632491707802	neiljenkin,0.628623664379	oopsmeant,0.627556979656	wahlao,0.626006007195	
endno	pcastat,0.726724863052	hmkurghh,0.703199982643	leftkinda,0.69214618206	nothingalthough,0.689391195774	kylezosum,0.688846826553	supz,0.679596185684	timclement,0.672218322754	liveplai,0.671784996986	tackel,0.671715319157	faithua,0.671095490456	
brimonst	awwchel,0.694015145302	redpinkflamingo,0.675965845585	vsureddi,0.669886946678	kdelboni,0.667698144913	recruitingfreak,0.667362332344	gergcofc,0.667092442513	wiederkehr,0.66540646553	cutienik,0.66139793396	tallyg,0.659974575043	sleppppparghmanfeel,0.65896821022	
prettygorg	workslast,0.558675646782	amup,0.537793695927	ninamaluhia,0.531480789185	ajblank,0.525033354759	groceriesoop,0.522887229919	kahfist,0.503453373909	nashifeet,0.500186800957	afrequentfly,0.49932718277	forrestmcdonald,0.499132335186	macpc,0.498340010643	
diker	katehold,0.715239405632	hannahmae,0.713718235493	yooner,0.713182032108	onerep,0.700744450092	envrioment,0.69499540329	regex,0.692718625069	lilliangash,0.690585970879	quotvar,0.68758481741	paoi,0.686661958694	magento,0.686552345753	
metalalreadi	remedywaloni,0.738238096237	lobe,0.736214160919	nowgrumbl,0.735558748245	accdntli,0.726117253304	papercut,0.726021826267	thjonasbroth,0.724803268909	heyanniehei,0.723628640175	frazierbooti,0.719701945782	bled,0.719686627388	halffinish,0.718080997467	
quotcatchquot	dogenjoi,0.869346380234	blazzin,0.693473577499	xxzx,0.656785368919	dogsssss,0.65605443716	karekar,0.653485655785	awaytrust,0.642661571503	cheeto,0.635904431343	freakkinq,0.627862632275	flahe,0.627492904663	tooquotinsert,0.623088359833	
laughscreams	dgritsko,0.869181454182	thewait,0.86624866724	steviehart,0.859171748161	lamontros,0.857427716255	mattchesterton,0.852836370468	sandalsfan,0.851784586906	samm,0.850542068481	shiftworldwid,0.849671244621	arejayhal,0.849461555481	kateyphil,0.84815210104	
spycraft	inconveni,0.565087854862	djdarkuj,0.546576738358	cosmolog,0.532436013222	cvilletweetup,0.532194435596	pinkninja,0.530733823776	softmor,0.524034976959	marguh,0.521978855133	difficulti,0.515282154083	meaningsh,0.514417648315	interrupt,0.514187932014	
spunktizzel	lorikealywacht,0.847358763218	engrmagsino,0.813440620899	maiaprinsesa,0.80998647213	peken,0.807078242302	wickedhalo,0.80058068037	booklight,0.792789459229	joeaki,0.791012167931	jmfryan,0.790119946003	ldnug,0.788413226604	durita,0.786999046803	
mafoo	terki,0.696070790291	booyahteam,0.686517000198	vinaygmurthi,0.686079204082	hulamom,0.685962378979	jazzihong,0.681681632996	jelfish,0.673936545849	nicekitti,0.671646356583	uhsleep,0.660565853119	arbyk,0.660348832607	joshwa,0.659922003746	
vespurr	brittanymorrow,0.772668361664	besidesy,0.743698596954	sohnemann,0.740637183189	fku,0.732145011425	kbqlt,0.7215321064	johnlol,0.717634916306	quotnop,0.716733038425	dbldbl,0.715478539467	nanpalmero,0.714661717415	shuffleboardi,0.711395382881	
heeyou	ruthanneadam,0.763783693314	questredacti,0.725925862789	thecountryg,0.723886489868	phototropi,0.718172550201	silenceissexi,0.708032608032	davidbass,0.704018950462	kpowerinfin,0.703934490681	irrum,0.701266407967	hee,0.692462146282	sissorhandvamp,0.69098508358	
dikei	megnutmeg,0.805955529213	filingu,0.803291916847	wsuruthi,0.799149036407	deadheadland,0.798408150673	sideoat,0.795957565308	aprilmcdoug,0.795388579369	robertumplebi,0.794747710228	spoildbauti,0.794319152832	acheso,0.791284441948	bbcdream,0.786413192749	
humaniform	recommendd,0.739683151245	projectmgmt,0.7146037817	veerl,0.711634576321	shoppingsigh,0.709597110748	verdejuli,0.706587314606	geniushatesco,0.704519748688	auntfr,0.694027304649	deliciouskind,0.688394486904	errricuh,0.688314139843	jadedmus,0.688009083271	
topnotchbaddest	doccrank,0.753605127335	djthefreshprinc,0.739512085915	soonli,0.735842764378	facehop,0.72971701622	tonystrength,0.725896954536	grandperspect,0.723707318306	callumbak,0.721661031246	allokayim,0.718236327171	jruckman,0.716939032078	kinghorn,0.715981185436	
losingshadow	porug,0.702827513218	quotahhhhaquot,0.690709173679	lipless,0.689607799053	lttaylor,0.675865650177	haylshaylshayl,0.660597085953	mjgchick,0.65675330162	redlip,0.65185379982	ammjai,0.63948571682	jajja,0.635849297047	nasvega,0.632750689983	
muppi	snorggl,0.908479452133	hawkvc,0.889056444168	quotzahgon,0.885811448097	artlovetwitt,0.885346531868	mailu,0.884955048561	bdguishd,0.884857773781	chwara,0.88475227356	faghat,0.884556889534	sleduj,0.883315443993	sylvianpatrick,0.882084727287	
pharmacisttodai	everoh,0.836728453636	hanieh,0.766727089882	categoria,0.765669941902	simasai,0.759314417839	noradio,0.759006857872	utensilsl,0.758641004562	icharissa,0.75858771801	schhol,0.749127388	sadtheyr,0.748456835747	beertweetup,0.748148441315	
metalmeisj	ewwwthat,0.806644678116	smw,0.657807469368	doccrank,0.635650396347	enchri,0.615758895874	sisterp,0.614263892174	deanamclaughlin,0.606882214546	coolmic,0.606693983078	jruckman,0.606151998043	stevebrew,0.603887438774	hihu,0.602531194687	
cutiebeauti	stunningsumm,0.708096623421	bucketheadbenni,0.665398955345	tuton,0.664037823677	makinsens,0.643610179424	crunchbitejr,0.620417892933	slowrac,0.613646388054	unknownnonbot,0.612362146378	salembabi,0.611626923084	replyur,0.609611392021	ohnow,0.605743050575	
thoughbo	amietwit,0.751121103764	ashleysmith,0.746073007584	pinupparlour,0.737357139587	neighborhoodquot,0.735543131828	lilmoxei,0.733534097672	ingoh,0.730024039745	fullterm,0.728727579117	dropkickaidan,0.728420376778	ncssm,0.728232681751	pgd,0.727347791195	
kiptrip	parkerkrhoyt,0.713623285294	lambdafilm,0.693853139877	spezifi,0.688253283501	javascala,0.681485772133	boardmuh,0.680143535137	thecrusad,0.679622173309	dsotnikov,0.678758859634	jorgeortiz,0.677255928516	richardbarlei,0.677246928215	fanfriggintast,0.676940560341	
nancyedunn	amylare,0.857253551483	valvaldez,0.841762006283	didso,0.837505459785	gagei,0.836593449116	awwwbless,0.836216449738	cruelsecretari,0.834139943123	meminti,0.832587838173	ashleex,0.83218985796	deliamcginni,0.831255912781	bswafford,0.830797076225	
mearmear	korvuskorax,0.670182943344	sufficeagain,0.627360343933	kidzquot,0.626925587654	icarin,0.625474393368	emememma,0.623377978802	sinatao,0.620209157467	ireplai,0.620078146458	tonyofmd,0.613664746284	shikaban,0.611419916153	lindecrantz,0.610080122948	
gilamonstr	blahish,0.784101128578	kmere,0.771981239319	xoxomyrna,0.771947026253	beccalltimelow,0.771175146103	realisedaft,0.767296433449	twittedp,0.765585839748	varatip,0.765569090843	natjohnston,0.764862775803	nephyr,0.763875722885	homesickfor,0.760855555534	
cratylu	jcouk,0.777391552925	michaelvallicom,0.761532366276	carylsumn,0.758352279663	pcware,0.732968211174	thejrcompositor,0.717370152473	mikidraw,0.708174467087	cityhump,0.704895019531	itsthecon,0.695761859417	chadgarrison,0.694681227207	katatapo,0.689809143543	
mesterto	missbiancamoon,0.808672189713	bjornaviet,0.799690246582	hollzi,0.798999428749	sofinoel,0.795445978642	weekwel,0.794436573982	jackaron,0.793658018112	notfornoth,0.793420672417	sovsbiggestfan,0.789221525192	abjohnston,0.789088368416	bethmarsden,0.788963079453	
failedpost	springactionscriptbut,0.956152319908	herrodiu,0.863326072693	merasa,0.806188702583	byang,0.804657518864	titer,0.803562104702	hemphil,0.803293287754	safadinea,0.801213264465	quotesourc,0.800227403641	toritomedia,0.797390699387	bungku,0.796178042889	
xtremest	quotshoot,0.756247103214	conducerquot,0.727829992771	realtrophywif,0.727620899677	inzan,0.727496266365	jaitm,0.723996400833	vim,0.720055699348	oncenothn,0.719597935677	bendog,0.715276241302	measili,0.713000416756	quotold,0.712226867676	
packag	amazon,0.735083460808	ship,0.730909228325	coupon,0.722638368607	ebai,0.720596075058	seller,0.71510976553	parcel,0.709588587284	receipt,0.709355533123	discount,0.706508040428	item,0.700583457947	envelop,0.699315190315	
omgggggggggggg	tawau,0.592876195908	billlublin,0.576976954937	thecassattack,0.570930302143	tayshihui,0.570343255997	shallei,0.569776833057	yaif,0.569148778915	nifta,0.565437555313	thedon,0.564876496792	wayneelsei,0.562420070171	ermlook,0.558918714523	
orgasmimagicalasticund	jcampmh,0.951646089554	basssheesch,0.896105647087	franhr,0.892255425453	devlzadvoct,0.890332341194	aieshya,0.888732552528	torontoist,0.888210177422	ohdatsbeezi,0.887481331825	confidentgolf,0.886571705341	jefeh,0.886391282082	mssouthernbuilt,0.885832428932	
kree	joanpatrick,0.908469796181	ariesubg,0.906807541847	vintila,0.906134963036	blakk,0.905827581882	hassin,0.904148936272	malachiriv,0.903253674507	malesh,0.902401864529	woodlandtrust,0.9018907547	durrelltrust,0.900619089603	droshi,0.900237560272	
kreg	billymccookiefac,0.882740139961	mmmoatmeal,0.878677427769	goobal,0.857634425163	yummyi,0.856986880302	girlguidecooki,0.850683569908	butterscotch,0.848144054413	kerouaconacid,0.846113443375	littlelottiel,0.84538012743	seniori,0.843379378319	buckwheat,0.842455983162	
krei	capagiro,0.733543872833	weezaffin,0.73184633255	dcanevit,0.72011590004	parko,0.719310164452	aden,0.718887686729	hikelseyyo,0.717276453972	victoriaalic,0.717269420624	bekahx,0.716293096542	burk,0.711835980415	dzien,0.711560964584	
ukpokerreview	nuww,0.609161376953	melissaeweiss,0.607858538628	budtheteach,0.578206300735	brandelah,0.572309374809	epeen,0.568351924419	jstrpenguin,0.563823342323	pomonaca,0.561557650566	rsync,0.554986178875	diannemcaoh,0.552141904831	daythrow,0.551460027695	
westinghousea	afreakshow,0.947994351387	ljudi,0.945687174797	obzirom,0.94386780262	uploadem,0.927619218826	sebelah,0.926736474037	seebivesi,0.926200985909	tonacastel,0.925667762756	vzpomenu,0.925422668457	shmera,0.925187349319	freakymushroom,0.924675345421	
babenot	nicolegiglia,0.745048880577	amandashbi,0.738606095314	izzatiarchuleta,0.73791706562	mandyoh,0.736725330353	upnon,0.734490454197	alsquir,0.733162224293	serenitybeckon,0.729799032211	rilmari,0.727243900299	hollyhatesy,0.724908828735	kimawesom,0.724830627441	
krem	danilo,0.807050585747	roadshow,0.791605889797	fasion,0.784244894981	theholybul,0.780421435833	tharum,0.778470933437	gentili,0.775056421757	geminiac,0.769676804543	chrisrunoff,0.767031133175	bsourc,0.760850906372	satnd,0.759128272533	
kren	condolens,0.826689481735	konwl,0.822629272938	cardiffblogg,0.819472193718	songdownload,0.816432595253	ohhmmmsorri,0.815623760223	nikkidecoi,0.814004302025	khialtltlton,0.813064396381	anythingu,0.812790393829	beckmermaid,0.811255693436	papaverin,0.808899283409	
divaonadiet	nitestart,0.794533908367	jerryshabazz,0.760469377041	ickasanto,0.756181001663	facebookdetox,0.72739559412	ahadfromcheam,0.712065041065	ftwftl,0.703494608402	weightbodyfat,0.648827493191	quotlifestyl,0.643943727016	teambuck,0.641769170761	joyousnfre,0.633441388607	
