stock	equity,0.525099
large	sizeable,0.734144
sang	sing,0.775152
sand	sandy,0.600484
sane	rational,0.622455
Kill	destroy,0.596459
fluent	proficient,0.522984
wearer	wear,0.489403
lessen	minimize,0.769689
small	large,0.733115
joiner	carpenter,0.55714
fashion	fashionable,0.532215
sank	sunk,0.704586
vanquish	conquer,0.625567
mile	kilometer,0.725848
neighborhood	street,0.598201
withheld	withhold,0.686633
ten	fifteen,0.845898
tea	coffee,0.563529
past	over,0.585971
amiss	wrong,0.528277
rate	percentage,0.555135
fiber	insulation,0.416468
design	architecture,0.626132
lawyer	attorney,0.820451
resound	echo,0.613144
poll	survey,0.696474
further	additional,0.495646
misrepresent	deceive,0.519062
casual	chic,0.439029
ribbon	cloth,0.446359
quicken	accelerate,0.422014
harden	thicken,0.538556
what	how,0.682036
stood	sat,0.633024
pathetic	pitiful,0.830419
clock	midnight,0.354122
sun	sunlight,0.726968
section	portion,0.406603
whimper	thud,0.465702
learner	pupil,0.445387
brief	lengthy,0.611471
milk	dairy,0.73236
crush	topple,0.573775
public	private,0.578367
version	edition,0.495422
undecided	unsure,0.584266
discern	decipher,0.693983
method	technique,0.695044
contrast	comparison,0.656236
womb	baby,0.529886
turmoil	upheaval,0.817623
full	complete,0.499876
iran	syria,0.695338
empower	enable,0.63043
vale	peru,0.391519
mule	horse,0.522437
ranger	constable,0.456572
beacon	compass,0.457333
trunk	suitcase,0.519599
Alright	okay,0.887754
greed	avarice,0.794894
strong	solid,0.700987
legend	idol,0.576485
thrift	bank,0.500889
arena	stadium,0.603137
pleasant	pleasurable,0.689284
search	hunt,0.507796
stupor	daze,0.576761
naval	navy,0.757048
ahead	behind,0.515281
whine	moan,0.724219
experience	knowledge,0.574149
host	invite,0.419265
prior	previous,0.602818
amount	sum,0.633575
heroin	ecstasy,0.627059
gear	equipment,0.548962
pick	select,0.462131
action	decisive,0.378438
dismiss	reject,0.564662
luck	misfortune,0.559887
swoon	sag,0.506923
depart	arrive,0.65199
dire	bleak,0.693669
vie	compete,0.549158
france	spain,0.63753
transit	transportation,0.707345
africa	african,0.68028
ask	tell,0.628085
follower	disciple,0.589205
regiment	squadron,0.642381
vex	perplex,0.623348
sanction	punishment,0.599012
gunmen	policemen,0.562715
resident	citizen,0.498994
seventeenth	thirteenth,0.828897
select	choose,0.698059
ash	dust,0.460755
eye	eyelid,0.511292
helper	carpenter,0.407312
amaze	astound,0.760725
distinct	distinctive,0.629176
faint	dim,0.508854
wield	exert,0.569064
two	three,0.929184
pearl	turquoise,0.494603
sitter	child,0.385416
gorgeous	beautiful,0.8353
taken	take,0.645095
garnish	sprinkle,0.520046
assessor	auditor,0.551921
minor	serious,0.541023
more	less,0.809988
flat	unchanged,0.447446
flaw	shortcoming,0.647125
fellow	who,0.477178
ruthless	ruthlessness,0.740247
flag	jersey,0.408827
Mass	masses,0.434142
stick	stuck,0.532218
broke	broken,0.681215
particular	specific,0.632448
known	notorious,0.426328
mellow	melancholy,0.576405
doom	doomsday,0.549581
nineteen	seventeen,0.867035
glad	thankful,0.744048
town	village,0.73259
none	neither,0.6734
inflict	unleash,0.512577
hour	minute,0.615788
blah	bland,0.564675
citizen	citizenship,0.533786
policemen	policeman,0.70109
knocker	wench,0.374465
remain	stay,0.655655
nebraska	utah,0.669477
nine	seven,0.935634
taut	melodramatic,0.495726
learn	teach,0.669854
abandon	forsake,0.613236
male	female,0.840533
Tomorrow	tonight,0.700188
beautiful	gorgeous,0.8353
stubborn	obstinate,0.698384
shark	otter,0.545103
prompt	trigger,0.555334
taunt	berate,0.533944
brown	white,0.658077
salesmen	salesman,0.671486
squadron	regiment,0.642381
share	stock,0.425481
accept	reject,0.669235
boycott	protest,0.472589
autumn	spring,0.665884
prose	poetic,0.651641
minimum	maximum,0.692794
attain	achieve,0.830468
despot	dictator,0.778126
pond	lake,0.720914
swung	slid,0.591482
dress	costume,0.632956
condemn	denounce,0.800323
concept	idea,0.674426
huge	enormous,0.78332
smear	discredit,0.650322
beef	meat,0.728638
court	judge,0.697273
goal	objective,0.489692
awkward	uncomfortable,0.701904
rather	instead,0.71081
comfort	solace,0.601759
fruition	realization,0.459895
ledger	payroll,0.410367
rapport	friendship,0.580819
wax	cloth,0.484961
betterment	uplift,0.460808
cling	clung,0.652741
reject	accept,0.669235
before	after,0.75833
stir	inflame,0.509185
goat	sheep,0.646653
idaho	utah,0.657422
gash	bruise,0.645847
plant	factory,0.67088
okay	alright,0.887754
anoint	proclaim,0.508666
rude	vulgar,0.654576
cohort	study,0.427666
advice	advise,0.560712
sneak	smuggle,0.53778
reflect	reflection,0.596036
Matter	issue,0.511221
plane	airplane,0.83484
ambassador	envoy,0.728861
blood	marrow,0.498752
numb	dizzy,0.551088
gasp	snatch,0.438004
bloom	blossom,0.680545
bleak	gloomy,0.844209
apprehend	detain,0.613607
short	long,0.576843
coax	lure,0.569687
coat	jacket,0.649295
shady	sleazy,0.58364
author	novelist,0.62966
overnight	morning,0.519852
blunder	mistake,0.750492
mislead	misled,0.733716
coal	lignite,0.654473
shore	coast,0.508367
ego	egotistical,0.57181
sect	militia,0.535018
shade	sun,0.537014
pay	paid,0.739472
pleasure	joy,0.603288
egg	chicken,0.573998
oat	wheat,0.629306
ding	ya,0.41776
infant	newborn,0.790534
venezuela	ethiopia,0.579018
mexican	mexico,0.647679
help	assist,0.564128
soon	sometime,0.528786
trade	import,0.4517
held	hold,0.670178
attitude	mentality,0.727094
already	been,0.606871
flaunt	brandish,0.508205
supra	construe,0.377647
hell	heaven,0.550891
suffer	endure,0.58085
trouble	difficulty,0.631173
register	registration,0.641157
hundredth	thousandth,0.743522
style	flair,0.610406
render	make,0.451323
ethiopia	libya,0.641102
forthwith	promptly,0.486915
wishful	naive,0.526031
bosom	belly,0.423207
late	early,0.812128
resort	hotel,0.579832
pend	ding,0.362113
Conquer	vanquish,0.625567
astonish	astound,0.767635
conformist	bourgeois,0.551797
bout	fight,0.570034
cool	coolness,0.530718
bereft	devoid,0.736018
alter	change,0.672353
wry	witty,0.699058
fool	delude,0.582172
ant	insect,0.669194
someone	somebody,0.872602
return	leave,0.506864
dusk	sundown,0.684734
food	meal,0.543371
sucker	goddamn,0.498395
embarrass	humiliate,0.741439
hunter	deer,0.570205
number	proportion,0.549142
consign	banish,0.497152
framework	mechanism,0.529719
vomit	defecate,0.53682
frigid	chilly,0.795487
dig	dug,0.784884
compound	palace,0.364518
foot	feet,0.658169
somewhere	anywhere,0.574364
detach	attach,0.468019
complain	grumble,0.784144
slipper	shoe,0.599448
stopper	keeper,0.629538
payer	taxpayer,0.634582
pregnant	pregnancy,0.706482
bent	bend,0.488986
always	definitely,0.636258
policeman	policemen,0.70109
infer	deduce,0.718199
bless	pray,0.622022
tear	torn,0.547437
fasten	buckle,0.498204
found	find,0.603873
friendship	relationship,0.671182
status	credentials,0.418632
harm	endanger,0.663694
everyone	everybody,0.883674
england	spain,0.674062
mental	psychological,0.632429
weight	diet,0.513009
exhaust	engine,0.480853
house	apartment,0.6629
fish	trout,0.778065
thirteenth	twelfth,0.868027
idea	concept,0.674426
brother	son,0.837953
kneel	knelt,0.640646
been	already,0.606871
expect	anticipate,0.677106
fist	chest,0.474259
columbia	oklahoma,0.616895
operation	operate,0.481404
orient	familiarize,0.534534
britain	british,0.647506
Engine	cylinder,0.543487
noiseless	imperceptible,0.387866
flower	peony,0.661322
glitter	sparkle,0.641725
childish	silly,0.669436
since	been,0.511794
publish	publication,0.562778
jolly	cheery,0.595368
reverend	pastor,0.677438
sustain	maintain,0.615246
hill	mountain,0.628742
shipment	export,0.509001
paradise	utopia,0.606207
print	paper,0.498484
darling	favorite,0.414882
shrivel	wither,0.721388
Class	grade,0.476204
egypt	syria,0.673075
Cool	coolness,0.530718
ass	fuck,0.62904
assist	help,0.564128
belief	faith,0.586186
Hour	minute,0.615788
moan	whine,0.724219
thousandth	hundredth,0.743522
friday	monday,0.755732
differ	vary,0.734063
backer	supporter,0.705483
like	weird,0.567632
cockpit	cabin,0.52514
reason	why,0.613242
base	ground,0.358296
cookie	cake,0.508764
murmur	whisper,0.593254
imagine	fathom,0.704273
put	pull,0.560087
Opinion	viewpoint,0.524092
teach	taught,0.773582
hapless	lowly,0.586194
reproach	rebuke,0.568189
guy	kid,0.724574
heroic	heroism,0.700602
jew	jewish,0.594461
thrown	threw,0.726206
director	executive,0.69643
launch	relaunch,0.610504
prophet	prophecy,0.551446
omit	withhold,0.50449
success	successful,0.616758
american	america,0.716936
wither	shrivel,0.721388
businessmen	businessman,0.626823
threat	danger,0.70389
sarcasm	humor,0.624232
hunger	famine,0.558536
syria	iran,0.695338
undergo	underwent,0.743532
fallen	risen,0.738052
assign	designate,0.530682
feed	fed,0.608912
copper	zinc,0.691983
major	significant,0.61914
student	teacher,0.630136
perturb	disturb,0.541602
feel	felt,0.758299
ghetto	slum,0.483811
plow	tractor,0.481538
arsenal	stockpile,0.531671
barbarian	bloodthirsty,0.580897
feet	foot,0.658169
elder	uncle,0.549059
unexpected	unforeseen,0.672839
done	do,0.585218
least	one,0.451315
wench	tramp,0.515055
bland	dull,0.645213
mist	fog,0.643454
miss	lose,0.487492
weep	sob,0.601335
razor	blade,0.541563
guess	suppose,0.786578
breathless	feverish,0.584085
symptom	manifestation,0.523483
guest	visitor,0.391696
jet	plane,0.76611
paint	pigment,0.472076
blossom	bloom,0.680545
divorce	marriage,0.639798
interact	communicate,0.710317
Fuck	goddamn,0.699395
construct	build,0.73949
collar	jacket,0.416657
trend	pattern,0.579216
wonderful	marvelous,0.818886
saint	priest,0.561457
mama	daddy,0.754361
ton	lot,0.398189
nigeria	ghana,0.661125
compartment	cabin,0.491313
syrup	honey,0.602519
merciless	pitiless,0.685656
headache	nightmare,0.52875
imperfect	infallible,0.507082
statement	letter,0.610229
relationship	friendship,0.671182
behind	ahead,0.515281
hotel	motel,0.661712
park	parkway,0.532994
inch	centimeter,0.665032
dentist	doctor,0.678544
Lick	bite,0.537021
bower	holly,0.455192
fidget	snore,0.474616
consult	advise,0.637455
Problem	dilemma,0.635958
believe	say,0.718893
rampant	widespread,0.557841
grace	humility,0.518115
uphold	abide,0.612945
king	queen,0.651096
kind	sort,0.816599
grew	grown,0.669236
lament	grumble,0.621342
exempt	prohibit,0.536955
youth	young,0.571578
bride	wedding,0.710435
utopia	utopian,0.714316
stall	hamper,0.437995
redress	remedy,0.574375
store	shop,0.684484
stale	bland,0.54409
listen	hear,0.648707
restful	tranquil,0.610832
weapon	gun,0.614319
talker	opinionated,0.506562
indonesia	thailand,0.623456
bad	good,0.719005
exert	wield,0.569064
strengthen	enhance,0.741017
God	goddess,0.651874
plead	plea,0.587841
defect	defective,0.586167
juice	lemon,0.54349
antarctica	montana,0.433844
caress	loveliness,0.499047
engulf	ravage,0.557593
gasket	cylinder,0.538818
gall	audacity,0.709939
my	myself,0.665776
blissful	bliss,0.746726
remodel	renovate,0.770658
sell	buy,0.830846
mountain	hill,0.628742
prince	princess,0.698651
tough	difficult,0.677745
crutch	limp,0.442285
inherit	bequeath,0.61416
pry	coax,0.483538
cave	mountain,0.529579
scotland	scottish,0.600599
port	harbor,0.588283
lit	glow,0.471757
steal	stole,0.738244
lip	nose,0.512669
chairman	president,0.670874
frail	sickly,0.588518
brace	shield,0.369864
Teacher	elementary,0.679056
Kid	guy,0.724574
play	game,0.650118
electric	electricity,0.613704
eater	eat,0.422656
guitar	piano,0.726281
chart	map,0.417211
me	us,0.722387
steam	momentum,0.485792
react	respond,0.694815
cigarette	tobacco,0.691804
charm	charisma,0.558045
plan	proposal,0.713145
eaten	ate,0.693979
fiasco	mess,0.608224
nothing	anything,0.802768
solicitor	lawyer,0.686413
heap	pile,0.737881
cause	culprit,0.482882
mobile	phone,0.559307
nail	tooth,0.408566
humanitarian	refugee,0.484553
cover	defray,0.445123
destruct	destroy,0.536125
part	element,0.498797
servicemen	soldier,0.594564
clean	dirty,0.518018
barren	desolate,0.690479
weigh	wrestle,0.438931
barrel	crude,0.720395
usual	customary,0.523111
bulletin	report,0.504303
boredom	monotony,0.650597
sector	industry,0.630218
rocker	singer,0.693394
ugh	nope,0.580934
phenomenon	phenomena,0.757936
gold	silver,0.831329
fond	fondness,0.507494
aghast	disconcerted,0.569296
scoundrel	rascal,0.52347
session	day,0.451693
melt	harden,0.513974
freight	rail,0.559399
uniform	jersey,0.511754
fine	okay,0.383188
find	discover,0.681352
impact	effect,0.65279
access	accessible,0.533862
giant	gigantic,0.599112
copyright	patent,0.491471
music	jazz,0.683464
paranoid	hysterical,0.579206
nervous	apprehensive,0.654333
ruin	spoil,0.663556
flesh	skin,0.424309
vision	visionary,0.561232
indian	india,0.696704
betray	betrayal,0.533513
pretty	very,0.762588
factor	element,0.534049
deaf	deafness,0.535924
discuss	talk,0.570418
boulder	ledge,0.525126
prowess	adeptness,0.634354
lab	laboratory,0.849656
ungrateful	arrogant,0.587855
bend	bent,0.488986
miserable	dreadful,0.691207
express	convey,0.592511
upright	motionless,0.508556
resent	resentful,0.654513
famous	infamous,0.62148
lull	surge,0.483692
cheapen	diminish,0.542747
hid	hide,0.661529
ninth	eighth,0.94902
theft	stolen,0.72098
compass	flashlight,0.485298
silk	cloth,0.584637
banquet	luncheon,0.739709
catcher	starter,0.522699
lavish	extravagant,0.811715
cry	weep,0.574816
violent	violence,0.624382
proclaim	declare,0.660437
glum	gloomy,0.757545
furnish	provide,0.585644
common	prevalent,0.493799
Heard	hear,0.753151
switzerland	germany,0.636213
pod	compartment,0.387154
river	creek,0.799444
rear	headlight,0.553704
outlaw	prohibit,0.525982
wrote	written,0.595122
insane	crazy,0.733904
cramp	soreness,0.567707
set	broke,0.440478
art	artist,0.570186
dump	dispose,0.548378
creator	founder,0.519909
overwhelm	overpower,0.644522
organ	kidney,0.524463
potent	powerful,0.649556
sex	sexual,0.769474
lion	tiger,0.512104
dumb	stupid,0.817313
are	were,0.741537
sea	ocean,0.764354
tender	contract,0.377456
portrait	photograph,0.618338
bark	growl,0.47238
arm	leg,0.550555
barn	pasture,0.575627
shower	bathroom,0.620769
practice	soreness,0.396342
glue	adhesive,0.582851
revolution	revolutionary,0.62579
horrid	dreadful,0.822928
blurt	mumble,0.576226
forlorn	dejected,0.624979
willful	wanton,0.52278
wail	shriek,0.687968
please	you,0.489214
fission	atomic,0.522207
topmost	top,0.550675
woo	lure,0.673447
won	win,0.663642
myriad	multitude,0.826754
plywood	wooden,0.604097
woe	misery,0.655774
flame	candle,0.451961
rite	ritual,0.674032
nope	yes,0.611806
berserk	mad,0.56026
compliment	complement,0.562399
europe	european,0.73356
latin	spanish,0.559072
balk	bristle,0.431332
hardship	anguish,0.511671
fold	multiply,0.347267
complement	complementary,0.667866
sole	lone,0.520732
outfit	dress,0.447851
aircraft	airplane,0.764964
succeed	excel,0.569994
percent	percentage,0.652693
distinguish	differentiate,0.851272
Honor	salute,0.556162
both	respective,0.584012
garrison	army,0.542758
last	ago,0.64959
restaurant	cafe,0.676746
thou	thy,0.604853
annual	weekly,0.401693
oversea	abroad,0.442741
foreign	abroad,0.553254
bandit	robber,0.724081
connection	link,0.53801
entertain	amuse,0.595042
context	perspective,0.546861
forgotten	forget,0.648732
witch	witchcraft,0.639187
protector	guarantor,0.481778
whole	entire,0.712399
shortsighted	irresponsible,0.639993
load	burden,0.42202
sloth	slothful,0.510336
onward	westward,0.462178
distress	anguish,0.48537
point	juncture,0.485145
sweet	sweetness,0.621681
loan	mortgage,0.615949
sweep	swept,0.668955
hollow	meaningless,0.452617
newborn	baby,0.8207
deceit	deception,0.792717
dancer	dance,0.691688
church	congregation,0.78741
vessel	ship,0.751989
sever	terminate,0.519258
corp	corps,0.4954
belt	ring,0.416613
bolster	strengthen,0.715949
worthless	useless,0.729055
devil	devilish,0.576581
filth	filthy,0.675799
stamp	signature,0.416897
hind	tail,0.534799
damp	wet,0.667903
overlook	ignore,0.654526
buzzard	bird,0.582348
dug	dig,0.784884
ran	went,0.671502
secret	clandestine,0.593741
damn	darn,0.785636
ireland	australia,0.620964
bloc	coalition,0.479505
wait	await,0.500961
empty	barren,0.478357
firm	company,0.622436
Disturb	disrupt,0.612037
Daughter	mother,0.870624
champion	champ,0.871917
gay	queer,0.697269
regroup	reorganize,0.483492
fire	extinguish,0.524817
infect	infest,0.551386
wet	dry,0.676895
convert	conversion,0.615444
new	current,0.445869
else	anybody,0.610487
fund	money,0.578971
racer	rider,0.611876
understand	comprehend,0.73921
liver	kidney,0.738936
demand	supply,0.545612
instructor	taught,0.550663
heighten	lessen,0.630503
pact	accord,0.783686
stolen	theft,0.72098
uncertain	unsure,0.666177
look	see,0.608932
workmen	joiner,0.444033
Classic	style,0.475457
solid	strong,0.700987
ski	mountain,0.521067
straight	row,0.584649
bill	legislation,0.818438
budget	budgetary,0.721424
governor	legislature,0.626132
joyful	joyous,0.818249
rope	pulley,0.563813
pace	slow,0.507516
while	instead,0.557622
enact	implement,0.589938
behavior	misbehavior,0.607426
error	mistake,0.60381
fun	enjoyable,0.686114
fleet	aircraft,0.466305
Miss	lose,0.487492
loop	route,0.394754
pack	bag,0.378806
kingdom	king,0.521041
pound	foot,0.527173
portugal	spain,0.694069
century	decade,0.603066
moth	insect,0.716057
mystic	mystical,0.811545
imperialist	imperialism,0.805997
demon	monster,0.613795
astound	astonish,0.767635
rip	tear,0.546338
alaska	wyoming,0.635286
confound	perplex,0.626637
itself	its,0.55779
frantic	frantically,0.642885
rid	remove,0.555149
vanish	disappear,0.900423
rib	groin,0.601367
examine	evaluate,0.742284
around	across,0.584435
funny	hilarious,0.795387
shirt	jacket,0.661914
anymore	not,0.668961
grant	appropriation,0.509626
mint	lemon,0.464643
belong	exist,0.504373
dishonor	shame,0.550115
butcher	butchery,0.611054
Alert	alarm,0.499131
benign	mild,0.556872
discredit	embarrass,0.661848
grand	grandeur,0.39622
shirk	absolve,0.55159
danish	belgian,0.537118
development	advancement,0.547042
Arrival	departure,0.631145
lie	lying,0.602574
bonus	incentive,0.518469
restraint	prudence,0.540177
banter	chatter,0.569455
ultimate	greatest,0.517277
epithet	phrase,0.550597
cement	concrete,0.551651
alert	alarm,0.499131
moment	juncture,0.555394
flown	flew,0.691019
user	customer,0.554684
robust	strong,0.649925
nickname	name,0.522319
climb	ascend,0.653491
focal	vantage,0.422838
built	build,0.652394
lower	low,0.560389
task	chore,0.631376
anxious	eager,0.722114
poland	switzerland,0.633711
cheek	forehead,0.595185
spent	spend,0.750948
maker	manufacturer,0.755959
person	someone,0.665736
cheer	jeer,0.54001
auditor	treasurer,0.583034
withdraw	withdrawn,0.745535
landmark	historic,0.635473
Girl	boy,0.854327
prize	award,0.615135
spend	spent,0.750948
coup	overthrow,0.57522
chore	task,0.631376
abstain	refrain,0.53918
understood	understand,0.647587
unseen	invisible,0.536539
telegram	letter,0.578511
blur	hazy,0.453265
ludicrous	ridiculous,0.884649
press	media,0.60132
shape	fit,0.504884
cocky	cockiness,0.697388
thorough	rigorous,0.607687
fiend	addict,0.620536
mob	underworld,0.530848
vigilant	watchful,0.689079
elect	appoint,0.580685
taiwan	asia,0.487528
continent	continental,0.616004
befit	befitting,0.647823
timber	wood,0.662209
wage	salary,0.621703
onset	symptom,0.425811
porch	veranda,0.612761
cut	slash,0.741739
cup	jug,0.514983
hated	despise,0.682378
queen	princess,0.707053
relief	aid,0.516243
international	global,0.541315
duct	attic,0.503956
location	locale,0.673262
born	birth,0.531571
easter	christmas,0.545054
excited	pleased,0.71372
hater	fanatic,0.611635
bin	bag,0.503988
complaint	allegation,0.59368
australia	canada,0.735946
march	rally,0.610763
insert	attach,0.545915
big	huge,0.780985
bid	attempt,0.4537
folk	jazz,0.584309
wives	wife,0.531169
redeem	redemption,0.592968
quest	pursuit,0.619714
cataclysm	apocalypse,0.66264
abound	lurk,0.584883
crisp	sumptuous,0.495246
bit	little,0.807483
awaken	rouse,0.654633
overthrown	overthrow,0.668563
formal	informal,0.533037
insect	moth,0.716057
knock	blow,0.496866
outright	eventual,0.424145
blemish	stain,0.486585
lost	lose,0.713635
confront	grapple,0.563597
signal	message,0.460353
glove	wrist,0.475496
strife	turmoil,0.684033
heart	stroke,0.481406
flux	uncertain,0.459795
distrust	mistrust,0.903762
continue	remain,0.526024
popular	famous,0.527637
stylish	sleek,0.762949
foolish	unwise,0.758653
Fine	okay,0.383188
Find	discover,0.681352
eec	edc,0.344599
premium	price,0.530873
sketch	photograph,0.471469
often	seldom,0.732942
spring	summer,0.765077
christian	christianity,0.690421
creation	create,0.52484
some	many,0.652626
back	out,0.5956
nor	neither,0.661816
global	world,0.574401
urgent	urgency,0.529119
litter	rubbish,0.569722
mighty	almighty,0.576397
nonetheless	nevertheless,0.877786
sight	eye,0.370701
infest	infect,0.551386
curious	strange,0.596606
pale	mottled,0.471923
Friend	buddy,0.697249
scald	drip,0.447241
scale	scope,0.456174
String	rash,0.504931
dull	dreary,0.673335
pet	dog,0.716479
though	although,0.784028
per	average,0.619751
seller	maker,0.443529
wrong	correct,0.591286
religion	religious,0.722646
pen	pencil,0.5768
sick	ill,0.651342
sermon	pastor,0.540268
slash	cut,0.741739
prod	coax,0.566201
pea	bean,0.524433
nose	jaw,0.588524
Box	bag,0.422349
be	being,0.553392
limitless	boundless,0.748039
run	drive,0.483405
wayward	stray,0.509358
reach	attain,0.555518
odor	smell,0.763478
lose	lost,0.713635
rug	cloth,0.475511
rue	undone,0.432166
step	move,0.519289
Command	commander,0.507977
ache	pain,0.631544
taboo	forbidden,0.472536
shorten	prolong,0.591447
subtract	calculate,0.565184
intense	fierce,0.684338
vivid	poignant,0.572934
shine	sparkle,0.579218
faith	belief,0.586186
cautious	wary,0.728138
anything	nothing,0.802768
plunder	subjugate,0.450376
ordeal	journey,0.476984
page	text,0.478544
drama	suspense,0.59016
stricken	relief,0.404827
ambush	attack,0.510765
militia	guerrilla,0.554859
congressman	senator,0.731776
Bark	growl,0.47238
italian	italy,0.646099
shiny	sleek,0.605131
block	thwart,0.381648
repair	fix,0.588194
australian	british,0.626964
misbehavior	behavior,0.607426
colorado	utah,0.684044
conquest	domination,0.5762
shed	lost,0.404256
drifter	loner,0.541423
deduct	subtract,0.533482
investor	investment,0.631927
repaid	repay,0.749559
vagabond	wanderer,0.576718
lesson	teach,0.52089
germ	parasite,0.505699
pentagon	vietnam,0.464499
striven	strove,0.616736
undertaken	undertook,0.69678
span	stretch,0.478075
afflict	plague,0.566763
eleven	thirteen,0.85151
doll	ornament,0.511424
lone	sole,0.520732
amidst	amid,0.735578
custom	tailor,0.478676
doubt	wonder,0.523994
User	customer,0.554684
Excellent	terrific,0.740973
forward	ahead,0.477766
glow	radiance,0.582375
rogue	unscrupulous,0.542081
flagrant	blatant,0.629772
perplex	confound,0.626637
bore	bear,0.512292
jewish	jew,0.594461
poster	flyer,0.501623
atop	beside,0.505198
inept	incompetent,0.709427
slump	doldrums,0.63568
pastor	congregation,0.67966
Destruct	destroy,0.536125
cloth	fabric,0.609433
link	connection,0.53801
reef	ocean,0.586144
atom	electron,0.570037
russian	russia,0.6432
line	bottom,0.386005
outpost	garrison,0.51134
underground	tunnel,0.453746
skulk	wander,0.615909
patriot	patriotic,0.586791
consist	comprise,0.766142
caller	phone,0.479732
up	down,0.639699
us	me,0.722387
foresight	farsighted,0.582063
Egypt	syria,0.673075
slander	slanderous,0.694197
growth	expansion,0.573094
planer	rod,0.457572
sum	amount,0.633575
highlight	illustrate,0.653933
similar	identical,0.610325
clear	obvious,0.576154
maiden	filly,0.477128
genial	amiable,0.804355
camp	clinic,0.440274
constant	continual,0.765167
nationalist	nationalistic,0.738908
candor	humility,0.610091
overland	route,0.544778
haunt	plague,0.432592
possessor	possess,0.463027
precept	principle,0.473454
Attach	affix,0.636761
single	one,0.490349
parliament	parliamentary,0.814297
curb	curtail,0.695193
mainland	island,0.595705
chat	conversation,0.57076
home	house,0.56178
bicep	knee,0.637688
rally	march,0.610763
curl	caress,0.471915
cafe	restaurant,0.676746
prevail	vanquish,0.475395
racial	ethnic,0.592842
as	well,0.61412
cotton	wheat,0.576006
vehement	outspoken,0.600394
sullen	forlorn,0.600185
lemon	ginger,0.546725
riot	brawl,0.523632
sunken	sunk,0.501927
swamp	marsh,0.504382
peace	reconciliation,0.553344
water	lake,0.590341
invalid	valid,0.618053
club	league,0.593336
parlor	cafe,0.439224
Entertain	amuse,0.595042
Grandma	grandmother,0.780591
department	bureau,0.488191
bandstand	esplanade,0.456936
nay	yea,0.61977
Medal	bronze,0.626822
mock	simulate,0.40517
revision	revise,0.517436
Case	prosecution,0.52175
shrug	shake,0.489787
scapegoat	blame,0.556281
cellar	basement,0.607726
scrub	cleanse,0.495678
smitten	jealous,0.550712
impress	dazzle,0.64002
lucid	eloquent,0.542952
papa	mama,0.647214
resign	resignation,0.777577
Gun	pistol,0.769241
meaning	denote,0.459863
refrain	abstain,0.53918
drab	dreary,0.719109
leaf	flower,0.488919
unleash	inflict,0.512577
desert	arid,0.633329
hackney	taxi,0.530205
rightful	reclaim,0.452083
ago	last,0.64959
lane	roundabout,0.492047
statesman	statesmen,0.650014
fighter	boxer,0.71778
lead	advantage,0.562846
vice	chairman,0.583397
age	adult,0.477366
Announcement	decision,0.541155
oppress	subjugate,0.709246
feud	dispute,0.675337
depth	deep,0.499855
summit	forum,0.517065
arisen	arose,0.657728
worn	wear,0.67309
bribe	blackmail,0.530337
walker	walk,0.472256
dismal	woeful,0.782469
buffalo	goat,0.568243
receive	provide,0.576637
once	again,0.652272
essay	poem,0.642216
edc	unicef,0.358704
code	protocol,0.399997
partial	complete,0.432373
rabbit	fox,0.648274
lean	agile,0.469022
broaden	expand,0.797256
totem	symbol,0.454105
alien	interplanetary,0.50694
dispel	disprove,0.623295
renown	acclaim,0.684495
gang	mob,0.513522
go	come,0.660468
gossip	rumor,0.572743
pervert	molest,0.452118
Parent	parental,0.461987
turkish	russian,0.532453
Object	meteor,0.41066
young	teenage,0.643192
arid	desert,0.633329
Agree	disagree,0.771176
granular	aggregation,0.416541
Union	labor,0.531564
critical	crucial,0.7096
adjoin	adjacent,0.690649
alight	burnt,0.51578
breach	violation,0.624612
maryland	missouri,0.632115
fatal	deadly,0.716596
sent	send,0.736851
deficit	surplus,0.581501
fly	flew,0.627174
random	arbitrary,0.415217
proctor	dean,0.423592
garden	gardener,0.662109
dessert	meal,0.626595
wave	surge,0.509844
electron	nuclei,0.63634
dirt	mud,0.580571
precinct	district,0.47452
korea	russia,0.626947
wipe	erase,0.575257
entire	whole,0.712399
magic	magical,0.737332
augment	enhance,0.681008
stiff	stern,0.486011
harbor	port,0.588283
fur	wool,0.539334
shock	surprise,0.571144
tooth	teeth,0.69418
try	want,0.609739
pout	scowl,0.54163
race	racer,0.494466
verdict	acquittal,0.609407
knife	knives,0.770563
dealt	resolved,0.476284
hinder	impede,0.873862
architect	engineer,0.577943
pretend	presume,0.597345
interview	interviewer,0.580931
queer	gay,0.697269
mediterranean	iceland,0.48914
scientist	researcher,0.79066
mishap	accident,0.709202
jump	leap,0.65797
crook	thief,0.590663
State	district,0.546347
nephew	son,0.853185
ardent	fervent,0.763362
cartel	gang,0.4565
odd	strange,0.730743
click	please,0.454738
append	insert,0.435362
victor	winner,0.75975
index	indices,0.746189
length	width,0.555783
zest	vigor,0.644306
apparatus	machinery,0.508221
chicago	illinois,0.629573
dealer	salesman,0.528633
colonel	lieutenant,0.680726
korean	korea,0.615477
cell	molecular,0.380415
rotten	disgusting,0.533497
experiment	experimental,0.535132
Link	connection,0.53801
proffer	cogent,0.388911
bird	squirrel,0.665363
exercise	exertion,0.424068
inspect	inspection,0.610337
led	lead,0.49848
chose	chosen,0.74095
leg	ankle,0.651006
punch	blow,0.425416
fifteenth	twelfth,0.819525
